A0A024RAP8,216
A0A044PY82,361
A0A075B6F4,123
A0A075B6H5,130
A0A075B6H7,116
A0A075B6H8,117
A0A075B6H9,119
A0A075B6I0,122
A0A075B6I1,120
A0A075B6I2,148
A0A075B6I3,137
A0A075B6I4,117
A0A075B6I5,121
A0A075B6I6,118
A0A075B6I7,105
A0A075B6I8,117
A0A075B6I9,116
A0A075B6J0,118
A0A075B6J1,123
A0A075B6J2,113
A0A075B6J3,113
A0A075B6J4,112
A0A075B6J5,113
A0A075B6J6,115
A0A075B6J7,117
A0A075B6J8,112
A0A075B6J9,120
A0A075B6K0,112
A0A075B6K1,120
A0A075B6K2,117
A0A075B6K3,119
A0A075B6K4,117
A0A075B6K5,115
A0A075B6K6,122
A0A075B6K7,115
A0A075B6L2,103
A0A075B6L6,115
A0A075B6M9,112
A0A075B6N1,114
A0A075B6N2,111
A0A075B6N3,115
A0A075B6P5,120
A0A075B6Q4,140
A0A075B6Q5,118
A0A075B6R0,118
A0A075B6R1,110
A0A075B6R2,117
A0A075B6R9,120
A0A075B6S0,17
A0A075B6S2,120
A0A075B6S3,120
A0A075B6S4,117
A0A075B6S5,117
A0A075B6S6,120
A0A075B6S9,117
A0A075B6T6,113
A0A075B6T7,132
A0A075B6T8,112
A0A075B6U4,112
A0A075B6U6,113
A0A075B6U7,21
A0A075B6U8,20
A0A075B6U9,22
A0A075B6V0,20
A0A075B6V1,18
A0A075B6V2,18
A0A075B6V3,21
A0A075B6V5,113
A0A075B6V6,18
A0A075B6V7,20
A0A075B6V8,20
A0A075B6V9,18
A0A075B6W1,20
A0A075B6W2,23
A0A075B6W3,19
A0A075B6W4,21
A0A075B6W5,121
A0A075B6W6,20
A0A075B6W7,21
A0A075B6W8,21
A0A075B6W9,22
A0A075B6X0,22
A0A075B6X3,22
A0A075B6X4,22
A0A075B6X5,111
A0A075B6X7,20
A0A075B6X8,21
A0A075B6X9,22
A0A075B6Y0,19
A0A075B6Y1,19
A0A075B6Y2,20
A0A075B6Y3,21
A0A075B6Y4,20
A0A075B6Y5,19
A0A075B6Y8,20
A0A075B6Y9,22
A0A075B6Z0,21
A0A075B6Z1,19
A0A075B6Z2,21
A0A075B6Z3,21
A0A075B6Z4,16
A0A075B6Z5,21
A0A075B6Z8,20
A0A075B6Z9,21
A0A075B700,19
A0A075B702,21
A0A075B704,21
A0A075B706,17
A0A075B708,20
A0A075B709,21
A0A075B710,21
A0A075B711,20
A0A075B712,20
A0A075B713,21
A0A075B714,20
A0A075B734,347
A0A075B759,164
A0A075B792,156
A0A075B7B8,117
A0A075B7B9,11
A0A075B7D0,117
A0A075B7D4,117
A0A075B7D8,119
A0A075B7E0,11
A0A075B7E8,117
A0A075B7F0,116
A0A075B7F1,116
A0A075B7H0,301
A0A087WSX0,123
A0A087WSX2,117
A0A087WSX3,117
A0A087WSX4,116
A0A087WSY0,165
A0A087WSY4,118
A0A087WSY6,115
A0A087WSZ0,117
A0A087WSZ9,112
A0A087WT01,109
A0A087WT02,112
A0A087WT03,109
A0A087WTC8,76
A0A087WTG2,46
A0A087WTH1,108
A0A087WTH5,132
A0A087WTM6,91
A0A087WU04,20
A0A087WU20,115
A0A087WUJ7,227
A0A087WUM0,186
A0A087WUV0,522
A0A087WV48,116
A0A087WV62,115
A0A087WV87,114
A0A087WVE0,104
A0A087WVF3,549
A0A087WVL0,115
A0A087WW49,117
A0A087WWA1,95
A0A087WWC5,75
A0A087WWF1,144
A0A087WWL8,130
